no,dates,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13
203,2010-04-12,ts_kal,home,20,25,21,26,22,18,21,27,58,55,53,44,47
204,2010-04-12,ts_kal,work,24,35,34,31,31,32,38,31,41,39,52,-999,-999
205,2010-04-13,ts_kal,home,20,12,5,2,10,16,27,52,32,32,29,31,34
206,2010-04-13,ts_kal,work,63,65,66,48,42,40,51,40,32,41,30,-999,-999
207,2010-04-14,ts_kal,home,40,38,41,36,40,39,36,40,33,28,38,36,33
208,2010-04-14,ts_kal,work,46,40,36,32,37,30,37,39,40,38,32,-999,-999
209,2010-04-15,ts_kal,home,35,38,36,36,30,33,35,33,50,74,106,111,113
210,2010-04-15,ts_kal,work,32,42,41,38,32,36,44,41,48,52,50,-999,-999
211,2010-04-16,ts_kal,home,109,102,104,116,113,127,141,137,56,47,49,43,41
212,2010-04-16,ts_kal,work,136,101,99,101,73,62,56,88,77,57,54,-999,-999
213,2010-04-17,ts_kal,home,45,52,32,48,64,70,58,53,88,92,78,79,64
214,2010-04-17,ts_kal,work,50,47,56,61,59,51,44,52,61,66,81,-999,-999
215,2010-04-18,ts_kal,home,57,56,74,72,67,70,75,68,48,51,56,54,48
216,2010-04-18,ts_kal,work,76,76,45,86,65,53,69,87,84,83,54,-999,-999
217,2010-04-19,ts_kal,home,48,43,45,50,49,51,50,61,73,87,100,100,92
218,2010-04-19,ts_kal,work,56,64,52,61,65,73,77,86,88,89,79,-999,-999
219,2010-04-20,ts_kal,home,91,91,82,71,80,84,76,84,45,48,56,54,48
220,2010-04-20,ts_kal,work,61,94,73,63,74,54,58,29,10,39,43,-999,-999
221,2010-04-21,ts_kal,home,47,46,32,34,38,39,35,32,21,30,30,29,25
222,2010-04-21,ts_kal,work,33,37,40,46,41,43,43,44,45,48,45,-999,-999
223,2010-04-22,ts_kal,home,29,23,20,12,5,7,4,6,12,29,20,29,32
224,2010-04-22,ts_kal,work,8,9,6,14,9,12,13,13,11,15,14,-999,-999
225,2010-04-23,ts_kal,home,35,25,10,11,7,12,13,17,24,32,35,40,58
226,2010-04-23,ts_kal,work,12,19,20,29,33,23,26,29,33,31,30,-999,-999
227,2010-04-24,ts_kal,home,64,55,49,45,51,44,53,52,108,114,120,106,98
228,2010-04-24,ts_kal,work,43,62,56,61,76,66,66,60,64,61,71,-999,-999
229,2010-04-25,ts_kal,home,102,86,81,77,82,75,71,78,56,71,71,67,66
230,2010-04-25,ts_kal,work,78,66,61,51,61,71,61,47,52,66,66,-999,-999
231,2010-04-26,ts_kal,home,74,69,64,56,57,56,62,76,28,16,27,16,13
232,2010-04-26,ts_kal,work,80,70,74,76,68,54,54,45,36,19,30,-999,-999
233,2010-04-27,ts_kal,home,14,16,21,22,27,35,55,58,47,48,55,45,46
234,2010-04-27,ts_kal,work,37,41,44,48,40,44,49,28,23,37,39,-999,-999
235,2010-04-28,ts_kal,home,48,51,49,46,47,50,51,60,24,14,25,21,14
236,2010-04-28,ts_kal,work,61,62,76,77,56,21,20,23,19,22,32,-999,-999
237,2010-04-29,ts_kal,home,16,35,47,48,53,63,70,59,82,90,96,101,94
238,2010-04-29,ts_kal,work,64,61,65,64,67,66,65,71,77,78,81,-999,-999
239,2010-04-30,ts_kal,home,92,80,92,90,91,94,100,119,52,51,61,58,55
240,2010-04-30,ts_kal,work,105,65,35,20,25,12,19,32,30,32,43,-999,-999
241,2010-05-01,ts_kal,home,48,44,36,31,32,37,37,31,65,80,74,58,64
242,2010-05-01,ts_kal,work,17,14,24,24,37,35,46,52,54,58,58,-999,-999
243,2010-05-02,ts_kal,home,56,39,40,35,36,35,33,38,114,114,97,86,72
244,2010-05-02,ts_kal,work,38,51,54,68,77,84,101,111,104,106,115,-999,-999
245,2010-05-03,ts_kal,home,75,73,70,59,71,88,105,109,108,113,110,102,96
246,2010-05-03,ts_kal,work,117,115,112,97,94,83,84,96,92,95,112,-999,-999
247,2010-05-04,ts_kal,home,106,101,96,93,89,97,112,106,97,110,118,107,95
248,2010-05-04,ts_kal,work,107,99,96,98,90,67,54,53,57,70,90,-999,-999
249,2010-05-05,ts_kal,home,105,98,94,92,82,83,83,100,100,103,71,67,59
250,2010-05-05,ts_kal,work,102,102,88,89,83,78,83,68,74,87,80,-999,-999
251,2010-05-06,ts_kal,home,40,35,29,15,8,1,2,7,42,47,51,49,43
252,2010-05-06,ts_kal,work,21,21,30,42,51,47,47,41,50,40,34,-999,-999
253,2010-05-07,ts_kal,home,31,31,27,28,25,26,29,30,64,77,91,84,77
254,2010-05-07,ts_kal,work,38,37,37,33,25,30,30,45,52,58,67,-999,-999
255,2010-05-08,ts_kal,home,68,55,41,43,37,39,32,40,102,103,121,113,91
256,2010-05-08,ts_kal,work,41,46,60,66,75,96,104,91,96,89,98,-999,-999
257,2010-05-09,ts_kal,home,94,81,84,82,80,77,82,98,90,88,93,94,108
258,2010-05-09,ts_kal,work,103,94,92,90,82,77,90,87,86,86,56,-999,-999
259,2010-05-10,ts_kal,home,127,100,80,85,94,82,79,82,96,81,48,41,43
260,2010-05-10,ts_kal,work,95,79,52,45,53,118,250,265,193,136,114,-999,-999
261,2010-05-11,ts_kal,home,49,47,42,42,40,50,51,51,67,73,65,52,46
262,2010-05-11,ts_kal,work,64,82,95,110,106,103,96,88,60,53,64,-999,-999
263,2010-05-12,ts_kal,home,42,52,50,49,41,38,36,36,75,87,85,55,92
264,2010-05-12,ts_kal,work,39,39,44,50,54,71,48,49,87,75,66,-999,-999
265,2010-05-13,ts_kal,home,84,85,74,73,76,67,60,66,79,84,81,90,83
266,2010-05-13,ts_kal,work,72,101,92,91,64,44,38,45,57,62,66,-999,-999
267,2010-05-14,ts_kal,home,80,67,62,55,40,39,47,36,61,60,61,67,62
268,2010-05-14,ts_kal,work,28,22,24,19,20,27,41,66,85,77,58,-999,-999
269,2010-05-15,ts_kal,home,78,96,120,91,69,68,72,73,36,33,61,60,62
270,2010-05-15,ts_kal,work,57,44,73,67,66,51,37,40,41,26,26,-999,-999
271,2010-05-16,ts_kal,home,60,61,63,58,48,48,46,55,57,49,73,71,70
272,2010-05-16,ts_kal,work,60,42,30,41,32,29,36,41,59,60,60,-999,-999
273,2010-05-17,ts_kal,home,59,56,63,52,54,50,46,52,64,53,55,56,68
